gene,f_statistic,p_value,mean_ALL,mean_CLL,mean_AML,mean_CML
NM_002064,419.45340271699274,1.3841489659038569e-174,0.6357810225235213,0.4605926175912221,0.5849302266126477,0.660956488099209
NM_016205,418.51592733795667,2.5516789434325243e-174,0.17828104704823516,0.24734556558640194,0.4872609986760563,0.42717254023219264
AK025100,416.54194235970266,9.2741273330825e-174,0.24237248335683023,0.28130300044384693,0.4538101200231782,0.46586699818455896
NM_004414,411.82265468551316,2.05700278293528e-172,0.4764256307752718,0.20184301683985736,0.2703020267029101,0.26255821384662803
NM_002935,411.4323074666326,2.660417996823482e-172,0.4077046243345724,0.20815735379477593,0.6027731193004879,0.7405201224393622
BF112140,411.3063847006385,2.8906855717602583e-172,0.4199922306761103,0.13960405214559996,0.11337588453150793,0.10929003648113376
J02783,410.99015315257844,3.560929608299565e-172,0.5312762708155387,0.5427916292651294,0.6653597945137246,0.6963930240897245
NM_001237,409.1981044638062,1.162808620403145e-171,0.2920336609988243,0.09181240198343898,0.2929878180940792,0.3559286712214003
AF305083,408.49747091657065,1.8483567892452597e-171,0.45170305218171636,0.3576586289873606,0.5723231991441333,0.6423673671345378
BG477064,407.7287109410421,3.075079164517077e-171,0.4580921759025766,0.3008116230934481,0.5892754408172133,0.5778944242832272
AW452651,401.1215084842517,2.497500566696309e-169,0.362841370573199,0.11779024932957903,0.13945796637313898,0.09921939635844246
AF162769,400.9091407763227,2.878547991074229e-169,0.5099806302321066,0.3307523328952397,0.4461916921667552,0.555105060338974
AI349506,400.5402695815863,3.6840896218894837e-169,0.43370177164468743,0.27947258886405685,0.25722708886467527,0.2322988723253095
NM_000349,400.33830315653336,4.2172014054775005e-169,0.08963495924739903,0.09227946604393772,0.2885326965048851,0.20989816774462544
NM_004010,399.29998978893144,8.453385974574367e-169,0.12490492209593484,0.3915339967919679,0.10904522787495102,0.0857085726375497
AI348094,398.70238231183566,1.261969543721263e-168,0.26804496622815255,0.5432764070682259,0.15412397195987315,0.10705795913371587
AI698023,398.13221851288694,1.8501624257136984e-168,0.3980418487362256,0.09549290037376,0.13280847442974172,0.07214942183562147
AL833199,395.3886908323664,1.1710780410591018e-167,0.28560138368282745,0.38199228928561957,0.08729048310471013,0.06401620586511012
NM_003864,390.83539744767154,2.543064238497926e-166,0.5335102159564101,0.3197239282764966,0.5400523866892789,0.5124060539312141
AI083557,388.16546267279426,1.5601678497116667e-165,0.2717378254843141,0.09337541042386954,0.1062092403736299,0.07997973111653055
NM_015559,387.0818787197817,3.263966810451402e-165,0.32411679325181,0.5218537785584414,0.19257007150798455,0.20392648598482446
AA207074,382.2963930953374,8.617493109167052e-164,0.23211088912014705,0.36618213808234734,0.15452973053297794,0.10217909701168533
NM_014880,381.50516241149757,1.4837512496861133e-163,0.33187904332362866,0.4538301811691075,0.6035859160965983,0.6355950749197672
NM_003645,381.1897518593955,1.8429107932935625e-163,0.20369618921540678,0.14014378158800023,0.3703250127630707,0.4405534461487171
AI862674,379.6487908812771,5.3217428671859977e-163,0.22037518251614666,0.453912569500726,0.12932300355452103,0.09621548483711342
AB004903,379.1557964737444,7.474960096856927e-163,0.5299873230359389,0.15667808736489794,0.2685165120948266,0.30061207711696625
N30339,378.5014236295113,1.1738831167549276e-162,0.347525885557209,0.10514600214230108,0.1257337311134177,0.0932355760055226
AI377271,378.5011570247319,1.1740990984098624e-162,0.3626625248735104,0.1383155717235452,0.4077576670201372,0.42174484909966936
AI797836,374.3651630124998,2.0552875335305883e-161,0.21478607142643166,0.4184314233215549,0.1889305305649103,0.18339682578347452
AV729072,371.90615633120615,1.1362589751493939e-160,0.27553995597013914,0.4576617945221406,0.22998715422282917,0.23129163283941362
NM_012395,371.71204400321363,1.3007975734270488e-160,0.3903712185800349,0.5927522252254849,0.3401391129897263,0.3989645914975988
AF016535,371.16736802341114,1.901513271217317e-160,0.19025444588116627,0.44790891785850506,0.16603735636680564,0.07803990826183971
NM_003504,371.0269112465958,2.0972043958134813e-160,0.265745544604265,0.03139638278205025,0.2570836388647325,0.3311442725880202
NM_006834,369.7180763645396,5.2296544079938466e-160,0.2999555073003498,0.34065033412118,0.5397923650792601,0.5563851206801659
AW499525,365.8174955926148,8.045709904381524e-159,0.39033674185565853,0.5466202810595308,0.36762843527450634,0.37163245816563445
NM_001911,361.840173124667,1.3272149391926457e-157,0.4401293537758906,0.2719679083124998,0.6241941835861725,0.778065889380699
BC010948,360.85724105987447,2.6600160949032785e-157,0.28575301719316787,0.47345118017136295,0.3509737449165448,0.438078614168389
AB033010,355.66743599201,1.0625200661348418e-155,0.24303761564212248,0.27942047480352317,0.40081190193209665,0.3184214809606241
AF267860,355.4082380885447,1.2783205383347896e-155,0.2164264263909891,0.2480442508866516,0.35813965349809673,0.38211225527663556
NM_003877,354.7738601118424,2.0105133766508332e-155,0.697403248502027,0.32264373284854975,0.46091423232963574,0.48896677688110707
U07139,347.9822822213471,2.6326469163094104e-153,0.34218749523572967,0.21447877997713252,0.22272381476391154,0.18609728075044105
W46364,347.21048190844243,4.595493575817981e-153,0.371202589909828,0.1123694908247184,0.08866077826579431,0.06946122944679889
M58596,346.791531413173,6.219834728718135e-153,0.38304860824975406,0.33757652971060464,0.4945257608760656,0.5791760592959646
BF513468,346.1761775171387,9.70501957096068e-153,0.4552939439346211,0.4002359984167517,0.20207144180946923,0.09676464042777932
AL035086,342.5644484185553,1.3324350178165481e-151,0.2938169557195362,0.4122695189110841,0.15817752953778214,0.15085722887238792
AI559190,341.93895179326614,2.100368455668703e-151,0.0843804986184087,0.0935264634624721,0.25549343619713066,0.31321545837577
AI378026,339.46433355931117,1.2766411886368933e-150,0.18376114916637404,0.3400538109148605,0.17717648071059344,0.22615067903385613
NM_001772,338.55153675473383,2.4883550411407246e-150,0.14218676202704092,0.18254023529333757,0.4147496990685565,0.4392845769261205
AA058578,338.41729594252985,2.745187135258342e-150,0.3505047215405134,0.47214221262730627,0.32317499513466075,0.325575469538223
NM_001553,337.10173873615497,7.196033030660797e-150,0.38654434140301697,0.1825631151667439,0.5850364576285915,0.5294250173624171
AI760356,335.16667702564365,2.9799844328068683e-149,0.29066405848625604,0.4220715292772663,0.23985198864909,0.2285591008704763
NM_002224,334.90546143943726,3.6112565603520588e-149,0.2296844883453434,0.37565997538435814,0.09361269757883615,0.03726464513212789
BC001651,334.60902631736275,4.491521738078074e-149,0.2651135910434837,0.06294422500859162,0.2597982138286595,0.310207798557226
AI199541,332.9300286136391,1.5480167948752769e-148,0.29633856231694905,0.06358357948469165,0.2879043165811769,0.14473065536815768
NM_001778,332.89297011254183,1.590933909928527e-148,0.45793549169641024,0.6679516634609126,0.4738075788266928,0.5455214367356411
NM_016300,331.2685017521316,5.2834705533130134e-148,0.3296256006552214,0.09367754147977486,0.10048181145970171,0.09485068930269679
NM_001870,330.7934147906817,7.509509978223811e-148,0.18826306365225293,0.19872970191392472,0.4711686656574795,0.5092952230642008
NM_003293,329.7659745099631,1.607713146088128e-147,0.0723299203016539,0.0634086136539164,0.28923622829701884,0.24887491563378386
NM_002337,328.52008430135874,4.0531531164525153e-147,0.33377973848116504,0.4310256887211578,0.48808615924319404,0.5321318916110105
